Ocupation (english)	Perc-Da	Perc-Sv	Perc-Ru	Perc-Zh	Perc-US_bls	Perc-US_bergsma
technician	22.8	18	19	51	40.34	9.42
accountant	19.5	58	72		59.7	9.26
supervisor				43.1	38.64	36.02
engineer	22.8	24	25	23	10.72	1.99
worker		45			37.92	13.43
educator	64	83	84	53	70.8	42.32
clerk	58.7	54	82	43	69.53	56
counselor					66.48	46.45
inspector			79		6.4	2.35
mechanic	0.6	3	5		1.8	0.89
manager	29	40	42	43	38.51	5.18
therapist	81	92	91	16	76.7	61.86
administrator	48.9	90	73		54.86	10.9
salesperson	66	62	83	50	48.08	35.79
receptionist	88.9	81	91		90.6	67.22
librarian	75.23	76			83	85.58
advisor		32			37.9	13.37
pharmacist	74.5	85	31		57	11.53
janitor	17	74	46		34.3	4.2
psychologist	76.4	73	90		70.3	33.15
physician	52	51	70		37.9	8.41
carpenter	0.4	1	7	11	2.07	11.99
nurse	96	88	97		89.58	88.31
investigator					45.15	5.29
bartender	54	48			59.8	20.42
specialist	60				41.35	20.22
electrician	1	3	8	30	2.3	0.8
officer	32	34	10		30.42	7.29
pathologist	60	66			97.5	11.48
teacher	65.4	81	84		71	54.35
lawyer	55.2	37	45		34.5	7.35
planner		65			77.6	20.96
practitioner	52				74.79	34.19
plumber	0.4	1	10	30	0.7	3.34
instructor		46			62.3	16.07
surgeon	19.5	21			37.9	4.34
veterinarian	77	79	64		60.5	35.55
paramedic	9		10		32.9	7.52
examiner					62.46	6.9
chemist	52.6	53	31		36.1	10.13
machinist	1	6	5		6.7	6.11
appraiser	43	55			52.24	20.33
nutritionist	94.9	95	64		94.6	27.27
architect	44.7	53			20.81	2.83
hairdresser	93.2	87			94.2	80.11
baker	26.9	43	56		60.8	8.93
programmer	28.3	20	18	39.3	18.35	4.04
paralegal			75		85.4	86.32
hygienist	96	96			96.4	25
scientist	40	46	40	30.1	41.94	3.29
dispatcher	39	48		18	56.3	68.57
cashier	54	70	81		72.5	67.46
auditor	21	58	79		59.7	28.04
dietitian	93.2	95			94.6	86.49
painter	28.5	8	57		5.7	11.65
broker	28	19		36	55.5	13.62
chef	38.1	52			19.6	6.66
doctor	52	44	70		37.9	9.2
firefighter	16	6	14		3.5	3.09
secretary	80	83	91		94.6	10.43